NULL,Mercury,57910000,4800
NULL,Venus,108200000,12100
NULL,Earth,149600000,12750
NULL,Mars,227940000,6800
NULL,Jupiter,778330000,142800
NULL,Saturn,1424600000,120660
NULL,Uranus,2873550000,51800
NULL,Neptune,4501000000,49500
NULL,Pluto,5945900000,3300
